,testado
60,"['DESCRIPCIÓN', 'SOLICITUD']"
61,"['####', '.', 'No', '.', 'podas', 'de', 'libramiento', 'de', 'líneas', 'de', 'transmisión', 'realizadas', 'dentro', 'de', 'los', 'municipios', 'de', '####', ' ', '####', ' ', '####', ' ', '####', ' ', '####', 'y', 'El', '####', 'durante', 'el', 'año', '2011', '.']"
62,"['DESCRIPCIÓN', 'SOLICITUD']"
63,"['DESCRIPCIÓN', 'SOLICITUD']"
64,"[' ', '1', '.', 'Solicito', 'se', 'me', 'informe', 'el', 'estado', 'que', 'guarda', 'a', 'esta', 'fecha', 'la', 'autorización', 'de', 'manera', 'condicionada', 'en', '####', 'de', '####', '####', '####', 'con', 'fecha', 'del', '23', 'de', 'agosto', 'de', '2002', 'a', 'la', 'empresa', '####', '####', '####', '####', ' ', '####', 'de', '####', 'para', 'la', 'realización', 'del', 'proyecto', 'para', 'la', 'extracción', 'de', 'carbón', 'mineral', ' ', '####', '####', ' ', 'ubicado', 'en', 'el', 'municipio', 'de', '####', '####', ' ', 'en', 'el', '####', 'de', '####', ' ', 'localizado', 'en', 'las', 'coordenadas', 'geográficas', '####', '####', '####', '####', '####', '####', '####', ' ', 'de', 'Latitud', '####', 'y', '####', '####', '####', '####', 'de', 'Latitud', 'Sur', ' ', 'y', ' ', '####', '####', '####', '####', 'de', 'Longitud', 'Oeste', 'y', ' ', '####', '####', '####', '####', 'de', 'Longitud', '####', '.', ' ']"
65,"['DESCRIPCIÓN', 'SOLICITUD']"
66,"['DESCRIPCIÓN', 'SOLICITUD']"
67,"['DESCRIPCIÓN', 'SOLICITUD']"
68,"['DESCRIPCIÓN', 'SOLICITUD']"
69,"['DESCRIPCIÓN', 'SOLICITUD']"
